locationid	dateforecastfor	dateforecastmade	maxtemp	mintemp	tempunit	conditions	conditionsicon
Edinburgh	2017-01-05	2017-01-05	2	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-01-06	2017-01-06	10	5	C	Fog	http://icons.wxug.com/i/c/k/fog.gif
Edinburgh	2017-01-07	2017-01-07	8	7	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-01-08	2017-01-08	10	8	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-01-09	2017-01-09	10	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-01-10	2017-01-10	8	5	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-01-11	2017-01-11	9	1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-01-12	2017-01-12	2	-1	C	Chance of Snow	http://icons.wxug.com/i/c/k/chancesnow.gif
Edinburgh	2017-01-13	2017-01-13	3	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-16	2017-01-16	8	7	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-01-14	2017-01-14	3	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-01-15	2017-01-15	9	8	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-01-17	2017-01-17	10	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-18	2017-01-18	8	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-20	2017-01-20	6	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-19	2017-01-19	8	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-21	2017-01-21	3	1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-01-22	2017-01-22	3	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-23	2017-01-23	5	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-24	2017-01-24	10	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-01-25	2017-01-25	9	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-26	2017-01-26	4	-1	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-01-27	2017-01-27	4	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-01-28	2017-01-28	4	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-01-29	2017-01-29	5	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-30	2017-01-30	5	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-02	2017-02-02	11	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-31	2017-01-31	8	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
